,temperature,humidity,ph,WaterLevel,label
0,18.35874828,13.38236458,6.249825412,54.85580308,peas
1,17.52425417,13.88567848,6.485207044,45.99370945,peas
2,18.85702552,13.00243832,6.629289593,52.48355178,peas
3,18.34155395,13.79168576,6.298004637,51.95556521,peas
4,16.32948118,13.04644657,6.792862116,45.67805393,peas
5,17.46779018,13.39943165,5.893661168,45.56540569,peas
6,18.26470433,13.55234374,6.486131777,51.67280691,peas
7,18.38433704,13.627536,6.219809112,46.1097405,peas
8,18.81825767,13.92070229,6.714346818,48.7163271,peas
9,17.36090568,13.34491654,6.011075625,48.06256652,peas
10,17.14322017,13.47642347,6.945601649,51.8127218,peas
11,17.66028922,13.76139915,6.619147763,49.0339523,peas
12,16.41997631,13.02272304,6.982207007,51.35615089,peas
13,17.28602285,13.89256494,6.078197684,52.72669732,peas
14,18.962053,13.6249547,6.454489874,45.18564829,peas
15,16.73504597,13.93435772,6.22284047,46.3488367,peas
16,18.65610954,13.30305823,6.283823757,47.61856621,peas
17,18.84223576,13.97053587,6.419595328,53.04269309,peas
18,18.55173319,13.20542451,5.930023836,47.49309903,peas
19,18.65692282,13.86474967,6.908610207,53.45447706,peas
20,17.15002523,13.88683879,6.898091232,52.27762057,peas
21,17.39957146,13.57449371,6.961956131,53.36948735,peas
22,18.33800715,13.88588179,6.68931867,52.21474302,peas
23,16.62933834,13.73500256,6.351210337,52.78767506,peas
24,17.05222044,13.25875089,6.253187948,47.85510842,peas
25,17.87353701,13.77714048,5.832345251,51.79454288,peas
26,17.51546271,13.40511332,6.579191989,48.5097426,peas
27,18.46464224,13.3268219,6.451286787,54.55312597,peas
28,17.76364079,13.28620197,6.443339449,51.33339941,peas
29,16.59220149,13.67007454,6.861642401,52.86630896,peas
30,17.92114547,13.04534931,6.431690086,54.56423739,peas
31,16.36778445,13.07392988,6.959263204,47.76955888,peas
32,18.91712672,13.52743556,6.56329395,45.28867111,peas
33,17.16304123,13.60790564,6.341248657,51.08088743,peas
34,16.82395992,13.35747273,6.515016404,54.48267988,peas
35,18.27428157,13.72227347,6.293832692,47.77481591,peas
36,18.43368618,13.82282007,6.854526533,48.80448262,peas
37,16.77316869,13.37828007,6.198975088,54.1520583,peas
38,18.42826536,13.44709505,6.324729072,54.68659162,peas
39,18.58666059,13.5964346,6.414507895,50.88940602,peas
40,17.89552352,13.64427074,6.901376519,47.20478352,peas
41,16.91291931,13.88168024,5.959978324,54.02667562,peas
42,18.87442726,13.1395439,6.989783702,46.10634125,peas
43,18.14446321,13.15749662,6.035920917,46.18698993,peas
44,18.47263108,13.17598284,6.752682575,50.48756676,peas
45,17.24585394,13.21823471,6.140633197,49.26975055,peas
46,16.19061394,13.12584954,6.105032099,53.05171654,peas
47,16.45986631,13.94556086,6.321037459,45.65168769,peas
48,16.90502144,13.70902332,6.418855522,49.33736173,peas
49,17.52100722,13.11363012,6.792750349,49.58894017,peas
50,18.94892359,13.96531729,6.401019552,49.83286633,peas
51,18.04096846,13.64310235,6.356336276,54.02878566,peas
52,16.6096627,13.07441819,6.005449856,48.93248802,peas
53,16.92090842,13.31513111,6.118253382,53.52940532,peas
54,18.49529179,13.28347288,6.833947994,48.73950137,peas
55,17.44404425,13.49036823,6.476080799,51.87022091,peas
56,18.99235974,13.85150385,6.233575864,51.58280526,peas
57,16.83267765,13.41592044,6.112615391,54.72849867,peas
58,16.89894636,13.19367393,6.418232032,49.70826578,peas
59,18.69986334,13.89853507,6.565551607,52.58368249,peas
60,18.39366334,13.38183841,6.724210206,47.35890574,peas
61,17.04252547,13.99818474,6.041231336,45.15647705,peas
62,18.58338417,13.68103423,6.325663257,48.70389953,peas
63,17.07241477,13.37315298,5.902427504,48.37762045,peas
64,18.27027346,13.15282115,6.891495018,53.42462478,peas
65,17.07157856,13.8248563,6.988322673,45.64404412,peas
66,16.57515931,13.01524092,6.730601869,51.31456297,peas
67,17.81435164,13.45061209,6.082555443,52.36792162,peas
68,17.06825279,13.92185984,6.396041857,47.2985009,peas
69,16.42778193,13.03360259,5.872569799,46.25082979,peas
70,17.35824435,13.09599403,6.985941508,51.32538734,peas
71,16.06477658,13.34974203,6.213288049,50.27510007,peas
72,18.09482393,13.99546653,6.622015559,47.54797531,peas
73,17.19628279,13.68862614,5.97052042,53.8727743,peas
74,16.7299298,13.76232596,6.566872894,50.31651317,peas
75,16.51353571,13.01543273,6.034191954,54.59576247,peas
76,17.76263954,13.89657768,6.597939402,54.54785592,peas
77,18.37870636,13.3174134,6.743625231,48.35250367,peas
78,16.14906131,13.64903865,6.68052304,49.09253064,peas
79,17.1456427,13.8647799,6.98228418,52.76664363,peas
80,16.17696081,13.17968982,6.722795196,46.38208375,peas
81,16.66504578,13.82277608,6.394988911,53.82476999,peas
82,16.12638383,13.86702608,6.208872901,51.73217414,peas
83,18.38042191,13.7129017,6.619286557,50.70990935,peas
84,18.52853631,13.3670343,6.186789628,51.27199135,peas
85,16.64503984,13.78864914,6.697700652,51.99172194,peas
86,16.02173044,13.21951774,6.775999519,54.52827927,peas
87,16.75323944,13.47352373,6.964083029,47.08726529,peas
88,17.32296548,13.64993734,6.302828229,47.27931771,peas
89,18.35983618,13.68231788,6.345922865,51.93524194,peas
90,18.31244819,13.55911428,6.380557629,54.23031225,peas
91,16.63557499,13.51383884,6.383245696,46.23595929,peas
92,16.97969776,13.68045014,6.735500607,53.18597708,peas
93,17.23855599,13.67905566,6.162915608,54.16333226,peas
94,17.68245951,13.77003912,5.850977816,47.17283014,peas
95,16.09610794,13.23248365,6.251009915,52.45738985,peas
96,18.45870168,13.54920054,5.826656734,54.04505704,peas
97,18.5923814,13.33612211,6.148212477,48.67784101,peas
98,17.0901642,13.79208799,5.863906832,50.18662549,peas
99,18.64837924,13.95591832,5.958580809,51.1333048,peas
100,26.47330219,80.92254421,6.283818329,53.65742581,watermelon
101,25.18780042,83.44621709,6.818261383,46.87420883,watermelon
102,25.29954705,81.77527562,6.37620108,57.04147057,watermelon
103,24.74631269,88.30866319,6.581587932,57.95826144,watermelon
104,26.58740671,81.32563243,6.932739726,41.87540028,watermelon
105,24.53442564,88.989272,6.140099215,49.11618732,watermelon
106,26.0713757,88.7285657,6.467095849,57.79652846,watermelon
107,25.96534238,89.77076659,6.849471704,59.46338556,watermelon
108,26.22338015,85.34866045,6.512196212,54.60159289,watermelon
